swb,country
4,Argentina
3,Argentina
9,Argentina
8,Argentina
4,Argentina
0,Argentina
8,Argentina
5,Argentina
3,Argentina
5,Argentina
8,Argentina
8,Argentina
8,Argentina
6,Argentina
8,Argentina
8,Argentina
6,Argentina
4,Argentina
4,Argentina
0,Argentina
4,Argentina
10,Argentina
5,Argentina
9,Argentina
6,Argentina
4,Argentina
9,Argentina
4,Argentina
5,Argentina
6,Argentina
5,Argentina
4,Argentina
5,Argentina
7,Argentina
2,Argentina
8,Argentina
10,Argentina
7,Argentina
3,Argentina
7,Argentina
7,Argentina
5,Argentina
6,Argentina
7,Argentina
5,Argentina
9,Argentina
8,Argentina
6,Argentina
6,Argentina
10,Argentina
8,Argentina
8,Argentina
8,Argentina
9,Argentina
7,Argentina
6,Argentina
8,Argentina
3,Argentina
10,Argentina
7,Argentina
6,Argentina
6,Argentina
5,Argentina
8,Argentina
2,Argentina
9,Argentina
7,Argentina
7,Argentina
5,Argentina
4,Argentina
0,Argentina
6,Argentina
7,Argentina
5,Argentina
6,Argentina
3,Argentina
7,Argentina
5,Argentina
7,Argentina
3,Argentina
7,Argentina
5,Argentina
4,Argentina
8,Argentina
7,Argentina
8,Argentina
8,Argentina
8,Argentina
8,Argentina
8,Argentina
10,Argentina
10,Argentina
1,Argentina
3,Argentina
7,Argentina
0,Argentina
0,Argentina
0,Argentina
8,Argentina
3,Argentina
2,Argentina
1,Argentina
8,Argentina
6,Argentina
8,Argentina
5,Argentina
6,Argentina
0,Argentina
2,Argentina
7,Argentina
8,Argentina
10,Argentina
6,Argentina
7,Argentina
4,Argentina
4,Argentina
3,Argentina
5,Argentina
7,Argentina
6,Argentina
10,Argentina
8,Argentina
7,Argentina
8,Argentina
5,Argentina
6,Argentina
9,Argentina
5,Argentina
7,Argentina
4,Argentina
6,Argentina
0,Argentina
6,Argentina
1,Argentina
1,Argentina
7,Argentina
2,Argentina
9,Argentina
6,Argentina
0,Argentina
7,Argentina
3,Argentina
5,Argentina
7,Argentina
4,Argentina
3,Argentina
5,Argentina
5,Argentina
6,Argentina
5,Argentina
6,Argentina
5,Argentina
1,Argentina
2,Argentina
5,Argentina
8,Argentina
6,Argentina
4,Argentina
6,Argentina
6,Argentina
7,Argentina
5,Argentina
7,Argentina
0,Argentina
5,Argentina
7,Argentina
1,Argentina
6,Argentina
9,Argentina
2,Argentina
9,Argentina
0,Argentina
1,Argentina
7,Argentina
5,Argentina
4,Argentina
10,Argentina
7,Argentina
5,Argentina
3,Argentina
3,Argentina
6,Argentina
10,Argentina
8,Argentina
5,Argentina
5,Argentina
8,Argentina
6,Argentina
6,Argentina
4,Argentina
8,Argentina
5,Argentina
8,Argentina
2,Argentina
7,Argentina
5,Argentina
2,Argentina
4,Argentina
3,Argentina
7,Argentina
10,Argentina
7,Argentina
5,Argentina
6,Argentina
5,Argentina
6,Argentina
0,Argentina
1,Argentina
7,Argentina
6,Argentina
6,Argentina
8,Argentina
5,Argentina
5,Argentina
10,Argentina
8,Argentina
6,Argentina
6,Argentina
3,Argentina
8,Argentina
0,Argentina
5,Argentina
5,Argentina
8,Argentina
6,Argentina
8,Argentina
5,Argentina
6,Argentina
8,Argentina
3,Argentina
9,Argentina
5,Argentina
7,Argentina
8,Argentina
6,Argentina
7,Argentina
8,Argentina
0,Argentina
8,Argentina
2,Argentina
0,Argentina
7,Argentina
0,Argentina
7,Argentina
3,Argentina
5,Argentina
5,Argentina
7,Argentina
6,Argentina
0,Argentina
8,Argentina
5,Argentina
8,Argentina
7,Argentina
4,Argentina
5,Argentina
0,Argentina
6,Argentina
7,Argentina
10,Argentina
10,Argentina
3,Argentina
7,Argentina
5,Argentina
10,Argentina
6,Argentina
5,Argentina
7,Argentina
8,Argentina
5,Argentina
10,Argentina
8,Argentina
7,Argentina
9,Argentina
5,Argentina
3,Argentina
7,Argentina
5,Argentina
0,Argentina
8,Argentina
9,Argentina
5,Argentina
6,Argentina
9,Argentina
6,Argentina
4,Argentina
4,Argentina
7,Argentina
6,Argentina
8,Argentina
1,Argentina
8,Argentina
10,Argentina
8,Argentina
6,Argentina
6,Argentina
5,Argentina
5,Argentina
5,Argentina
5,Argentina
4,Argentina
5,Argentina
5,Argentina
5,Argentina
7,Argentina
7,Argentina
10,Argentina
6,Argentina
3,Argentina
9,Argentina
6,Argentina
0,Argentina
8,Argentina
5,Argentina
10,Argentina
9,Argentina
10,Argentina
6,Argentina
3,Argentina
7,Argentina
5,Argentina
3,Argentina
8,Argentina
6,Argentina
7,Argentina
6,Argentina
8,Argentina
5,Argentina
6,Argentina
7,Argentina
5,Argentina
6,Argentina
7,Argentina
5,Argentina
5,Argentina
7,Argentina
7,Argentina
10,Argentina
4,Argentina
9,Argentina
6,Argentina
6,Argentina
5,Argentina
8,Argentina
9,Argentina
8,Argentina
5,Argentina
5,Argentina
9,Argentina
5,Argentina
0,Argentina
8,Argentina
7,Argentina
8,Argentina
7,Argentina
8,Argentina
4,Argentina
5,Argentina
8,Argentina
7,Argentina
8,Argentina
7,Argentina
7,Argentina
8,Argentina
8,Argentina
10,Argentina
7,Argentina
8,Argentina
8,Argentina
8,Argentina
8,Argentina
8,Argentina
5,Argentina
7,Argentina
8,Argentina
8,Argentina
8,Argentina
3,Argentina
6,Argentina
4,Argentina
10,Argentina
6,Argentina
0,Argentina
5,Argentina
8,Argentina
10,Argentina
6,Argentina
7,Argentina
5,Argentina
4,Argentina
4,Argentina
3,Argentina
4,Argentina
6,Argentina
5,Argentina
9,Argentina
6,Argentina
6,Argentina
7,Argentina
8,Argentina
5,Argentina
7,Argentina
6,Argentina
7,Argentina
5,Argentina
3,Argentina
5,Argentina
5,Argentina
5,Argentina
6,Argentina
8,Argentina
4,Argentina
8,Argentina
2,Argentina
8,Argentina
7,Argentina
6,Argentina
4,Argentina
3,Argentina
7,Argentina
3,Argentina
8,Argentina
7,Argentina
4,Argentina
7,Argentina
8,Argentina
5,Argentina
5,Argentina
5,Argentina
5,Argentina
5,Argentina
8,Argentina
7,Argentina
0,Argentina
5,Argentina
3,Argentina
7,Argentina
6,Argentina
10,Argentina
9,Argentina
3,Argentina
8,Argentina
9,Argentina
6,Argentina
3,Argentina
5,Argentina
7,Argentina
6,Argentina
4,Argentina
5,Argentina
5,Argentina
10,Argentina
5,Argentina
2,Argentina
5,Argentina
7,Argentina
6,Argentina
7,Argentina
7,Argentina
5,Argentina
10,Argentina
8,Argentina
10,Argentina
7,Argentina
10,Argentina
7,Argentina
7,Argentina
10,Argentina
9,Argentina
8,Argentina
7,Argentina
9,Argentina
7,Argentina
10,Argentina
8,Argentina
7,Argentina
10,Argentina
8,Argentina
8,Argentina
4,Argentina
9,Argentina
9,Argentina
10,Argentina
8,Argentina
7,Argentina
0,Argentina
6,Argentina
8,Argentina
8,Argentina
2,Argentina
7,Argentina
3,Argentina
5,Argentina
7,Argentina
5,Argentina
5,Argentina
3,Argentina
5,Argentina
3,Argentina
5,Argentina
7,Argentina
10,Argentina
7,Argentina
8,Argentina
2,Argentina
10,Argentina
2,Argentina
8,Argentina
4,Argentina
5,Argentina
3,Argentina
5,Argentina
6,Argentina
0,Argentina
7,Argentina
5,Argentina
7,Argentina
3,Argentina
10,Argentina
3,Argentina
3,Argentina
6,Argentina
0,Argentina
10,Argentina
7,Argentina
6,Argentina
8,Argentina
5,Argentina
9,Argentina
5,Argentina
8,Argentina
8,Argentina
5,Argentina
5,Argentina
7,Argentina
5,Argentina
4,Argentina
6,Argentina
8,Argentina
6,Argentina
4,Argentina
5,Argentina
6,Argentina
7,Argentina
6,Argentina
5,Argentina
7,Argentina
7,Argentina
5,Argentina
5,Argentina
4,Argentina
7,Argentina
4,Argentina
6,Argentina
4,Argentina
6,Argentina
4,Argentina
5,Argentina
7,Argentina
5,Argentina
5,Argentina
10,Argentina
5,Argentina
6,Argentina
7,Argentina
0,Argentina
9,Argentina
10,Argentina
4,Argentina
5,Argentina
7,Argentina
9,Argentina
7,Argentina
9,Argentina
8,Argentina
6,Argentina
7,Argentina
8,Argentina
6,Argentina
10,Argentina
5,Argentina
0,Argentina
4,Argentina
7,Argentina
7,Argentina
8,Argentina
4,Argentina
6,Argentina
5,Argentina
5,Argentina
0,Argentina
8,Argentina
7,Argentina
0,Argentina
7,Argentina
8,Argentina
8,Argentina
5,Argentina
5,Argentina
8,Argentina
8,Argentina
8,Argentina
3,Argentina
7,Argentina
5,Argentina
6,Argentina
7,Argentina
7,Argentina
8,Argentina
7,Argentina
4,Argentina
7,Argentina
6,Argentina
9,Argentina
0,Argentina
6,Argentina
5,Argentina
7,Argentina
8,Argentina
7,Argentina
8,Argentina
6,Argentina
6,Argentina
7,Argentina
4,Argentina
5,Argentina
0,Argentina
8,Argentina
8,Argentina
5,Argentina
3,Argentina
6,Argentina
10,Argentina
8,Argentina
8,Argentina
8,Argentina
5,Argentina
4,Argentina
3,Argentina
9,Argentina
5,Argentina
5,Argentina
5,Argentina
5,Argentina
5,Argentina
8,Argentina
7,Argentina
6,Argentina
9,Argentina
6,Argentina
4,Argentina
3,Argentina
10,Argentina
8,Argentina
5,Argentina
8,Argentina
5,Argentina
6,Argentina
0,Argentina
7,Argentina
0,Argentina
8,Argentina
5,Argentina
6,Argentina
7,Argentina
6,Argentina
5,Argentina
5,Argentina
4,Argentina
6,Argentina
7,Argentina
10,Argentina
4,Argentina
4,Argentina
6,Argentina
5,Argentina
2,Argentina
6,Argentina
10,Argentina
5,Argentina
3,Argentina
7,Argentina
5,Argentina
9,Argentina
9,Argentina
6,Argentina
6,Argentina
4,Argentina
7,Argentina
5,Argentina
10,Argentina
6,Argentina
10,Argentina
2,Argentina
8,Argentina
10,Argentina
7,Argentina
5,Argentina
5,Argentina
6,Argentina
6,Argentina
7,Argentina
5,Argentina
0,Argentina
10,Argentina
8,Angola
3,Angola
3,Angola
6,Angola
8,Angola
5,Angola
7,Angola
7,Angola
2,Angola
8,Angola
7,Angola
6,Angola
5,Angola
4,Angola
6,Angola
3,Angola
2,Angola
6,Angola
7,Angola
5,Angola
6,Angola
6,Angola
6,Angola
5,Angola
8,Angola
4,Angola
7,Angola
6,Angola
7,Angola
9,Angola
3,Angola
7,Angola
5,Angola
5,Angola
6,Angola
5,Angola
3,Angola
4,Angola
4,Angola
6,Angola
4,Angola
4,Angola
6,Angola
6,Angola
1,Angola
10,Angola
9,Angola
6,Angola
2,Angola
6,Angola
5,Angola
5,Angola
5,Angola
5,Angola
4,Angola
6,Angola
8,Angola
6,Angola
3,Angola
5,Angola
8,Angola
5,Angola
4,Angola
6,Angola
4,Angola
4,Angola
6,Angola
5,Angola
3,Angola
4,Angola
3,Angola
3,Angola
0,Angola
1,Angola
5,Angola
0,Angola
5,Angola
2,Angola
4,Angola
3,Angola
6,Angola
5,Angola
4,Angola
5,Angola
5,Angola
4,Angola
5,Angola
6,Angola
5,Angola
4,Angola
1,Angola
7,Angola
4,Angola
4,Angola
3,Angola
5,Angola
4,Angola
3,Angola
4,Angola
4,Angola
3,Angola
5,Angola
1,Angola
5,Angola
0,Angola
0,Angola
1,Angola
2,Angola
9,Angola
3,Angola
3,Angola
4,Angola
3,Angola
3,Angola
5,Angola
5,Angola
6,Angola
5,Angola
6,Angola
2,Angola
7,Angola
6,Angola
4,Angola
3,Angola
5,Angola
4,Angola
4,Angola
4,Angola
5,Angola
5,Angola
5,Angola
3,Angola
2,Angola
4,Angola
5,Angola
4,Angola
4,Angola
4,Angola
4,Angola
4,Angola
4,Angola
3,Angola
5,Angola
5,Angola
5,Angola
5,Angola
3,Angola
8,Angola
4,Angola
4,Angola
4,Angola
4,Angola
4,Angola
4,Angola
1,Angola
2,Angola
1,Angola
5,Angola
9,Angola
5,Angola
4,Angola
5,Angola
5,Angola
5,Angola
4,Angola
0,Angola
5,Angola
5,Angola
7,Angola
5,Angola
5,Angola
6,Angola
5,Angola
5,Angola
3,Angola
3,Angola
5,Angola
6,Angola
0,Angola
5,Angola
2,Angola
3,Angola
3,Angola
3,Angola
8,Angola
3,Angola
3,Angola
4,Angola
2,Angola
3,Angola
4,Angola
6,Angola
4,Angola
4,Angola
5,Angola
2,Angola
2,Angola
5,Angola
7,Angola
2,Angola
3,Angola
3,Angola
4,Angola
4,Angola
6,Angola
5,Angola
3,Angola
3,Angola
1,Angola
6,Angola
4,Angola
2,Angola
1,Angola
6,Angola
6,Angola
5,Angola
1,Angola
5,Angola
5,Angola
3,Angola
5,Angola
1,Angola
5,Angola
6,Angola
5,Angola
4,Angola
5,Angola
5,Angola
8,Angola
5,Angola
4,Angola
4,Angola
5,Angola
3,Angola
5,Angola
5,Angola
5,Angola
4,Angola
3,Angola
4,Angola
3,Angola
3,Angola
3,Angola
6,Angola
6,Angola
8,Angola
4,Angola
5,Angola
2,Angola
5,Angola
5,Angola
4,Angola
2,Angola
2,Angola
1,Angola
5,Angola
7,Angola
4,Angola
8,Angola
5,Angola
5,Angola
5,Angola
6,Angola
1,Angola
4,Angola
2,Angola
6,Angola
1,Angola
3,Angola
1,Angola
1,Angola
5,Angola
8,Angola
5,Angola
1,Angola
6,Angola
5,Angola
6,Angola
1,Angola
1,Angola
6,Angola
2,Angola
1,Angola
3,Angola
1,Angola
1,Angola
3,Angola
4,Angola
5,Angola
5,Angola
