gdppc,country
943.1787481,Afghanistan
4751.821237,Albania
10120.38855,Algeria
36409.42988,Andorra
3783.142848,Angola
18685.21447,Antigua and Barbuda
9991.382124,Argentina
3382.284391,Armenia
31990.30903,Aruba
29032.49096,Australia
31178.69333,Austria
4160.216167,Azerbaijan
27433.32312,"Bahamas, The"
41164.2896,Bahrain
1718.08388,Bangladesh
13228.43454,Barbados
6705.036472,Belarus
30282.28865,Belgium
8121.815206,Belize
1858.889912,Benin
58142.25158,Bermuda
3627.209762,Bhutan
3514.824223,Bolivia
4743.391536,Bosnia and Herzegovina
9479.194716,Botswana
9511.453991,Brazil
70527.57584,Brunei Darussalam
7937.483144,Bulgaria
977.7332907,Burkina Faso
559.1493795,Burundi
3344.162052,Cabo Verde
1244.243388,Cambodia
2236.248842,Cameroon
30963.92189,Canada
701.3866103,Central African Republic
909.5215471,Chad
10239.38529,Chile
3532.315658,China
7086.090245,Colombia
1898.222963,Comoros
426.2028633,"Congo, Dem. Rep."
3911.056531,"Congo, Rep."
8364.364842999999,Costa Rica
3007.556506,Cote d'Ivoire
13022.61514,Croatia
23479.79733,Curacao
24013.32227,Cyprus
18252.57277,Czechia
30640.34562,Denmark
6697.823846,Dominica
7231.704067,Dominican Republic
6314.136006,Ecuador
5895.395887,"Egypt, Arab Rep."
4652.401392,El Salvador
14025.41959,Equatorial Guinea
1598.524338,Eritrea
11663.2715,Estonia
4943.720735,Eswatini
513.1543118,Ethiopia
6081.886606,Fiji
28605.12232,Finland
28518.82522,France
13403.39072,Gabon
1759.121812,"Gambia, The"
3718.686933,Georgia
29178.63747,Germany
2471.645963,Ghana
22615.93561,Greece
30610.43063,Greenland
7632.855014,Grenada
5009.918372,Guatemala
1330.130201,Guinea
1098.314473,Guinea-Bissau
6331.504749,Guyana
2233.988703,Haiti
2683.225043,Honduras
29609.76837,"Hong Kong SAR, China"
14526.38826,Hungary
32607.10588,Iceland
2275.592233,India
5121.673837,Indonesia
12163.22435,"Iran, Islamic Rep."
9590.940848,Iraq
35222.02872,Ireland
26044.74349,Israel
28736.57711,Italy
6857.907192,Jamaica
28623.58845,Japan
6660.351398,Jordan
10014.71414,Kazakhstan
1931.522888,Kenya
1601.548253,Kiribati
21396.83775,"Korea, Rep."
60081.01838,Kuwait
1998.239482,Kyrgyz Republic
2021.422711,Lao PDR
10081.19186,Latvia
8618.753556,Lebanon
1383.202432,Lesotho
1024.231929,Liberia
20443.21254,Libya
10480.6961,Lithuania
58575.67927,Luxembourg
38656.74193,"Macao SAR, China"
1143.101525,Madagascar
938.8654344,Malawi
13633.4382,Malaysia
8809.691024,Maldives
1282.205782,Mali
19980.11311,Malta
2671.789386,Marshall Islands
2228.235172,Mauritania
9819.99036,Mauritius
11835.49293,Mexico
2544.078231,"Micronesia, Fed. Sts."
3632.610918,Moldova
4008.758944,Mongolia
7238.049302,Montenegro
4421.047852,Morocco
588.213084,Mozambique
1197.414125,Myanmar
5437.426279,Namibia
3590.897591,Nauru
1390.261592,Nepal
34447.20532,Netherlands
23306.27954,New Zealand
2887.050707,Nicaragua
825.2936238999999,Niger
2757.635018,Nigeria
6519.269311,North Macedonia
38056.24043,Norway
41426.44407,Oman
2687.16716,Pakistan
11435.17967,Palau
8981.120412,Panama
2136.715322,Papua New Guinea
6891.197775,Paraguay
5373.452017,Peru
3658.93215,Philippines
11804.26626,Poland
20356.6473,Portugal
25467.36071,Puerto Rico
92917.63866,Qatar
7301.259787,Romania
8037.474609,Russian Federation
762.1915337,Rwanda
3511.809375,Samoa
56599.77782,San Marino
1946.049601,Sao Tome and Principe
36242.07514,Saudi Arabia
2083.566901,Senegal
7364.746797,Serbia
14569.62565,Seychelles
749.971599,Sierra Leone
45083.25299,Singapore
13312.20331,Slovak Republic
20241.52568,Slovenia
1364.353128,Solomon Islands
525.116006,Somalia
8858.379658,South Africa
24371.59885,Spain
4686.802054,Sri Lanka
16531.51472,St. Kitts and Nevis
9196.195115,St. Lucia
7243.810193,St. Vincent and the Grenadines
3030.887695,Sudan
8060.125342,Suriname
30926.5056,Sweden
38704.95846,Switzerland
1255.014627,Tajikistan
1293.737915,Tanzania
8154.001521,Thailand
1369.408824,Timor-Leste
1390.857099,Togo
3886.282355,Tonga
15973.90684,Trinidad and Tobago
6633.25804,Tunisia
9281.087739000001,Turkiye
4458.72784,Turkmenistan
2878.55593,Tuvalu
1254.38169,Uganda
5173.303223,Ukraine
94694.41712,United Arab Emirates
29089.05368,United Kingdom
37997.74243,United States
9946.482721,Uruguay
2916.753376,Uzbekistan
1933.50694,Vanuatu
10969.39439,"Venezuela, RB"
2932.257427,Viet Nam
32113.43999,Virgin Islands (U.S.)
2178.845439,West Bank and Gaza
2933.835613,"Yemen, Rep."
1861.480418,Zambia
2120.467545,Zimbabwe
