countryname,swb
Argentina,Four
Argentina,Three
Argentina,Nine
Argentina,Eight
Argentina,Four
Argentina,Zero
Argentina,Eight
Argentina,Five
Argentina,Three
Argentina,Five
Argentina,Eight
Argentina,Eight
Argentina,Eight
Argentina,Six
Argentina,Eight
Argentina,Eight
Argentina,Six
Argentina,Four
Argentina,Four
Argentina,Zero
Argentina,Four
Argentina,Ten
Argentina,Five
Argentina,Nine
Argentina,Six
Argentina,Four
Argentina,Nine
Argentina,Four
Argentina,Five
Argentina,Six
Argentina,Five
Argentina,Four
Argentina,Five
Argentina,Seven
Argentina,Two
Argentina,Eight
Argentina,Ten
Argentina,Seven
Argentina,Three
Argentina,Seven
Argentina,Seven
Argentina,Five
Argentina,Six
Argentina,Seven
Argentina,Five
Argentina,Nine
Argentina,Eight
Argentina,Six
Argentina,Six
Argentina,Ten
Argentina,Eight
Argentina,Eight
Argentina,Eight
Argentina,Nine
Argentina,Seven
Argentina,Six
Argentina,Eight
Argentina,Three
Argentina,Ten
Argentina,Seven
Argentina,Six
Argentina,Six
Argentina,Five
Argentina,Eight
Argentina,Two
Argentina,Nine
Argentina,Seven
Argentina,Seven
Argentina,Five
Argentina,Four
Argentina,Zero
Argentina,Six
Argentina,Seven
Argentina,Five
Argentina,Six
Argentina,Three
Argentina,Seven
Argentina,Five
Argentina,Seven
Argentina,Three
Argentina,Seven
Argentina,Five
Argentina,Four
Argentina,Eight
Argentina,Seven
Argentina,Eight
Argentina,Eight
Argentina,Eight
Argentina,Eight
Argentina,Eight
Argentina,Ten
Argentina,Ten
Argentina,One
Argentina,Three
Argentina,Seven
Argentina,Zero
Argentina,Zero
Argentina,Zero
Argentina,Eight
Argentina,Three
Argentina,Two
Argentina,One
Argentina,Eight
Argentina,Six
Argentina,Eight
Argentina,Five
Argentina,Six
Argentina,Zero
Argentina,Two
Argentina,Seven
Argentina,Eight
Argentina,Ten
Argentina,Six
Argentina,Seven
Argentina,Four
Argentina,Four
Argentina,Three
Argentina,Five
Argentina,Seven
Argentina,Six
Argentina,Ten
Argentina,Eight
Argentina,Seven
Argentina,Eight
Argentina,Five
Argentina,Six
Argentina,Nine
Argentina,Five
Argentina,Seven
Argentina,Four
Argentina,Six
Argentina,Zero
Argentina,Six
Argentina,One
Argentina,One
Argentina,Seven
Argentina,Two
Argentina,Nine
Argentina,Six
Argentina,Zero
Argentina,Seven
Argentina,Three
Argentina,Five
Argentina,Seven
Argentina,Four
Argentina,Three
Argentina,
Argentina,Five
Argentina,Five
Argentina,Six
Argentina,Five
Argentina,Six
Argentina,Five
Argentina,One
Argentina,Two
Argentina,Five
Argentina,Eight
Argentina,Six
Argentina,Four
Argentina,Six
Argentina,Six
Argentina,Seven
Argentina,Five
Argentina,Seven
Argentina,Zero
Argentina,Five
Argentina,Seven
Argentina,One
Argentina,Six
Argentina,Nine
Argentina,Two
Argentina,Nine
Argentina,Zero
Argentina,One
Argentina,Seven
Argentina,Five
Argentina,Four
Argentina,Ten
Argentina,Seven
Argentina,Five
Argentina,Three
Argentina,Three
Argentina,Six
Argentina,Ten
Argentina,Eight
Argentina,Five
Argentina,Five
Argentina,Eight
Argentina,Six
Argentina,Six
Argentina,Four
Argentina,Eight
Argentina,Five
Argentina,Eight
Argentina,Two
Argentina,Seven
Argentina,Five
Argentina,Two
Argentina,Four
Argentina,Three
Argentina,Seven
Argentina,Ten
Argentina,Seven
Argentina,Five
Argentina,Six
Argentina,Five
Argentina,Six
Argentina,Zero
Argentina,One
Argentina,Seven
Argentina,Six
Argentina,Six
Argentina,Eight
Argentina,Five
Argentina,Five
Argentina,Ten
Argentina,Eight
Argentina,Six
Argentina,Six
Argentina,Three
Argentina,Eight
Argentina,Zero
Argentina,Five
Argentina,Five
Argentina,Eight
Argentina,Six
Argentina,Eight
Argentina,Five
Argentina,Six
Argentina,Eight
Argentina,Three
